# Tag | Avg latency (ms) | 5-th percentile latency (ms) | 25-th percentile latency (ms) | 50-th percentile latency (ms) | 75-th percentile latency (ms) | 95-th percentile latency (ms) | Throughput (tps) | Effective length (s)
rate-10000-lat-10-100-bw-2000-4bg-run-5 | 58920.82087534645 | 25592.698345 | 37474.383923 | 58266.749324 | 79227.334524 | 95735.356371 | 111219.1116741997 | 269.72975730895996
rate-10000-lat-10-100-bw-2000-4bg-run-6 | 63546.054381120295 | 22884.346957 | 36716.598048 | 59716.211794 | 89925.702297 | 110978.863797 | 100473.67042740954 | 267.2677915096283
rate-10000-lat-10-100-bw-250-4bg-baseline-run-1 | ERROR
rate-10000-lat-10-100-bw-250-4bg-baseline-run-2 | 122120.63315644953 | 44529.504261 | 87162.261362 | 125283.270172 | 159648.52407 | 201300.031526 | 41200.603514105074 | 272.9963893890381
rate-10000-lat-10-100-bw-250-4bg-baseline-run-3 | 118254.24283944763 | 39793.171611 | 79783.629701 | 118877.852685 | 163859.585887 | 197147.440433 | 45708.64357492166 | 266.5929033756256
rate-10000-lat-10-100-bw-250-4bg-baseline-run-4 | 124875.04088536887 | 35166.454867 | 78624.866668 | 121235.192819 | 173714.04837 | 204246.624265 | 46238.669080641615 | 271.3323771953583
rate-10000-lat-10-100-bw-250-4bg-baseline-run-5 | 130713.35616693101 | 23904.631755 | 96119.065803 | 136679.257122 | 170663.665626 | 212181.861402 | 41023.132166012714 | 273.47848415374756
rate-10000-lat-10-100-bw-250-4bg-baseline-run-6 | 129586.91785354847 | 28922.707287 | 78663.334554 | 132298.14982 | 185691.792527 | 223336.862414 | 42108.19231830186 | 272.1705057621002
rate-10000-lat-10-100-bw-250-4bg-run-1 | 88341.28889713903 | 29702.504821 | 50619.467359 | 83695.293835 | 126457.845517 | 151597.598049 | 77953.09239625506 | 263.7729866504669
rate-10000-lat-10-100-bw-250-4bg-run-2 | 87986.57059688692 | 30589.58269 | 58716.857188 | 93634.757517 | 112936.456619 | 144160.443062 | 69480.4150776628 | 262.68950724601746
rate-10000-lat-10-100-bw-250-4bg-run-3 | 93832.91089084909 | 28451.325285 | 71106.963834 | 92732.361655 | 123000.771517 | 141748.351741 | 81786.07784755153 | 262.17860746383667
rate-10000-lat-10-100-bw-250-4bg-run-4 | 87064.66190987731 | 31055.014638 | 53701.557144 | 82031.049617 | 120159.74251 | 141384.613591 | 84275.92542915454 | 264.68787956237793
rate-10000-lat-10-100-bw-250-4bg-run-5 | 93127.2511682761 | 31452.696729 | 62262.927696 | 99933.081178 | 125582.864829 | 141591.75457 | 85128.11095854583 | 265.1175944805145
rate-10000-lat-10-100-bw-250-4bg-run-6 | 87673.06000200057 | 37629.865631 | 54730.645796 | 87191.106292 | 115703.799889 | 154519.131229 | 75200.24424910062 | 266.1846673488617
rate-10000-lat-10-100-bw-500-4bg-baseline-run-1 | 102853.74313627486 | 23739.611268 | 57866.900314 | 90246.81658 | 147078.636679 | 186743.567086 | 52078.049521700654 | 273.2341961860657
rate-10000-lat-10-100-bw-500-4bg-baseline-run-2 | 115560.94911740052 | 36792.441399 | 80322.525471 | 114583.057819 | 154797.78634 | 186769.111653 | 52368.67619035738 | 272.10892152786255
rate-10000-lat-10-100-bw-500-4bg-baseline-run-3 | 32111.383875486023 | 16346.325924 | 26673.681902 | 31888.601858 | 38558.881952 | 43030.632179 | 48613.9033505037 | 45.245327949523926
rate-10000-lat-10-100-bw-500-4bg-baseline-run-4 | 116463.25512223139 | 36157.466566 | 74644.100215 | 117977.60296 | 161425.850866 | 186601.141146 | 55344.767038799204 | 272.2043800354004
rate-10000-lat-10-100-bw-500-4bg-baseline-run-5 | 105902.65889859117 | 28602.137931 | 71173.761048 | 105336.981886 | 141463.407538 | 178136.996947 | 50842.11347208328 | 272.3033928871155
rate-10000-lat-10-100-bw-500-4bg-baseline-run-6 | 111355.1134081848 | 29046.667592 | 75345.952653 | 114448.450189 | 153793.304561 | 181528.528227 | 54475.40752841254 | 271.8866488933563
rate-10000-lat-10-100-bw-500-4bg-run-1 | 76449.400546932 | 27024.125891 | 56633.65999 | 79035.57807 | 97697.450241 | 118147.105325 | 98360.44817684098 | 265.68077397346497
rate-10000-lat-10-100-bw-500-4bg-run-2 | 97230.58412550503 | 26780.779311 | 63226.182846 | 108822.41669 | 131489.278517 | 144707.106694 | 83843.87885629732 | 267.5173943042755
rate-10000-lat-10-100-bw-500-4bg-run-3 | 72747.48329493594 | 30460.412122 | 49791.143652 | 75172.994898 | 89873.614546 | 119870.422174 | 96069.95693479289 | 265.7050426006317
rate-10000-lat-10-100-bw-500-4bg-run-4 | 82209.64142853406 | 29501.405825 | 57505.777646 | 83806.099603 | 109975.426285 | 126841.297213 | 89678.79090516898 | 267.28495955467224
rate-10000-lat-10-100-bw-500-4bg-run-5 | 110306.90256252463 | 24051.743985 | 77141.73106 | 108514.04751 | 155297.123653 | 175850.024554 | 63522.23845806813 | 266.4369583129883
rate-10000-lat-10-100-bw-500-4bg-run-6 | 71333.40372276698 | 24782.412683 | 45212.06971 | 74007.598721 | 95006.414697 | 112921.525592 | 99923.30638398658 | 266.936243057251
rate-10000-lat-10-120-bw-1000-4bg-baseline-run-1 | 103849.27522395052 | 30670.162864 | 72616.010625 | 112980.122784 | 139420.289148 | 158924.800296 | 67856.07234592125 | 272.65993094444275
rate-10000-lat-10-120-bw-1000-4bg-baseline-run-2 | 99858.05689492097 | 25769.297705 | 70694.258673 | 95522.676239 | 137422.387274 | 172367.72796 | 59629.03756503213 | 272.4986460208893
rate-10000-lat-10-120-bw-1000-4bg-baseline-run-3 | 114095.71914366558 | 30493.78727 | 85781.17907 | 114490.576156 | 149878.317423 | 180690.831536 | 58417.45201047576 | 271.6295123100281
rate-10000-lat-10-120-bw-1000-4bg-baseline-run-4 | 103504.59521406399 | 28984.942931 | 70169.115799 | 109095.661875 | 136001.596227 | 169513.226655 | 63637.482577806746 | 272.2621841430664
rate-10000-lat-10-120-bw-1000-4bg-baseline-run-5 | 73146.82142860601 | 22737.829624 | 49842.308932 | 75412.949006 | 94712.870918 | 119487.806397 | 66192.65821121546 | 194.05559992790222
rate-10000-lat-10-120-bw-1000-4bg-baseline-run-6 | 104097.38061734143 | 32690.697178 | 62563.355117 | 107309.302496 | 142846.074428 | 176023.593451 | 62777.88712446687 | 272.0754199028015
rate-10000-lat-10-120-bw-1000-4bg-run-1 | 71121.09029827682 | 22306.961958 | 44355.188294 | 72591.635596 | 93651.719286 | 124226.379499 | 90957.30352597259 | 267.6709077358246
rate-10000-lat-10-120-bw-1000-4bg-run-2 | 78869.24152561022 | 21991.04963 | 59184.383446 | 83965.377447 | 97385.813646 | 118545.985528 | 94253.18621078838 | 267.697687625885
rate-10000-lat-10-120-bw-1000-4bg-run-3 | 79181.22435654132 | 26416.933646 | 48762.725355 | 71675.404761 | 111782.927797 | 138207.313789 | 84652.02614450196 | 264.18930554389954
rate-10000-lat-10-120-bw-1000-4bg-run-4 | 80842.67494129737 | 24129.424624 | 58058.303184 | 85156.109011 | 106654.054163 | 125538.250099 | 94624.0450581565 | 268.42327427864075
rate-10000-lat-10-120-bw-1000-4bg-run-5 | 69897.0180574238 | 23177.744334 | 42701.298352 | 67712.770047 | 98904.026277 | 125787.268588 | 88310.4198544518 | 267.25217747688293
rate-10000-lat-10-120-bw-1000-4bg-run-6 | 71368.01354115376 | 24313.927404 | 45893.25183 | 61166.085131 | 98696.257776 | 128257.935033 | 88911.26746014632 | 266.78211522102356
rate-10000-lat-10-140-bw-1000-4bg-baseline-run-1 | 117538.7605239535 | 29012.294476 | 84166.923127 | 116779.092705 | 154718.39615 | 184007.009741 | 43751.0356633548 | 269.25296330451965
rate-10000-lat-10-140-bw-1000-4bg-baseline-run-2 | 123074.46776397413 | 36120.495689 | 81649.707526 | 125497.10368 | 165694.210138 | 206136.088372 | 43578.905502882306 | 272.7602233886719
rate-10000-lat-10-140-bw-1000-4bg-baseline-run-3 | 139747.03107671213 | 38474.459576 | 90212.945979 | 154690.431131 | 181148.595806 | 204066.46575 | 38619.63855661647 | 271.30155515670776
rate-10000-lat-10-140-bw-1000-4bg-baseline-run-4 | 129618.85573167959 | 36846.815007 | 87269.691537 | 136627.641049 | 177622.078206 | 198921.36336 | 48042.29028977944 | 272.05896973609924
rate-10000-lat-10-140-bw-1000-4bg-baseline-run-5 | 118038.16089755083 | 31823.818739 | 79530.944632 | 124392.311519 | 163795.134712 | 185484.872556 | 54435.115966008365 | 271.18494629859924
rate-10000-lat-10-140-bw-1000-4bg-baseline-run-6 | 67001.66782546077 | 20623.788343 | 45455.270843 | 62391.935202 | 90418.832695 | 120370.075271 | 36764.71255154371 | 150.40509271621704
rate-10000-lat-10-140-bw-1000-4bg-run-1 | 83641.05981786746 | 32608.911061 | 61615.926797 | 83104.085936 | 106612.311587 | 130065.657051 | 91507.81871519514 | 268.0300803184509
